Variável,Mean(ts),Std(ts),f_0(ts)
7419,0.8879999999999998,0.04866723743957531,0.7906655251208492
7420,0.8824999999999998,0.05367727638395972,0.7751454472320805
7421,0.88825,0.05550394130149679,0.7772421173970064
7422,0.8865,0.05390037105623671,0.7786992578875265
7423,0.8869999999999999,0.047100955404322756,0.7927980891913544
7424,0.88975,0.045974857259158515,0.797800285481683
7425,0.8825,0.052021630116712035,0.7784567397665759
7426,0.8857499999999999,0.045312112067304934,0.79512577586539
7427,0.887,0.05201922721455981,0.7829615455708804
7428,0.887,0.054254032108222154,0.7784919357835557
7429,0.884,0.04802603460624248,0.787947930787515
7430,0.894,0.05197595597966429,0.7900480880406714
7431,0.88875,0.0553821947921893,0.7779856104156214
7432,0.89125,0.047351742312189526,0.7965465153756209
7433,0.8819999999999999,0.049884867444947675,0.7822302651101045
7434,0.8935000000000002,0.048685213360937424,0.7961295732781253
7435,0.88825,0.053321548177073776,0.7816069036458524
7436,0.8944999999999999,0.04576843890717707,0.8029631221856457
7437,0.88725,0.05153821397759143,0.7841735720448171
7438,0.8869999999999999,0.054138710734556665,0.7787225785308866
7439,0.8815000000000001,0.04618170633486814,0.7891365873302638
7440,0.883,0.05348831648126533,0.7760233670374693
7441,0.8815000000000001,0.048685213360937424,0.7841295732781253
7442,0.8862500000000001,0.04491311055805422,0.7964237788838917
7443,0.8885000000000001,0.05054948070949889,0.7874010385810023
7444,0.8959999999999999,0.04920873906126838,0.7975825218774631
7445,0.8902499999999999,0.049357750151318686,0.7915344996973626
7446,0.8815,0.04777813307361435,0.7859437338527713
7448,0.8845000000000001,0.054861188466893425,0.7747776230662132
7449,0.889,0.05090677754484171,0.7871864449103166
7450,0.8752499999999999,0.052618319053348725,0.7700133618933024
7451,0.8935,0.04698670024592065,0.7995265995081586
7452,0.87375,0.051886293951293155,0.7699774120974137
7453,0.8917500000000003,0.052921522086954394,0.7859069558260915
7454,0.884,0.04905609034564414,0.7858878193087118
7455,0.88125,0.04992181386928964,0.7814063722614207
7456,0.89075,0.04920048272120915,0.7923490345575818
7457,0.8837499999999998,0.051644820650284,0.7804603586994319
7458,0.8912499999999999,0.05164482065028399,0.7879603586994319
7459,0.8837500000000001,0.051158454824202816,0.7814330903515945
7460,0.8875,0.05165994579942957,0.7841801084011408
7461,0.8815000000000001,0.052514283771179816,0.7764714324576404
7462,0.88825,0.04801757490752735,0.7922148501849453
7463,0.877,0.04453650188328672,0.7879269962334265
7464,0.8847499999999999,0.05407113370366854,0.7766077325926628
7465,0.8794999999999998,0.04954543369474123,0.7804091326105174
7466,0.88475,0.05754291876504007,0.7696641624699199
7467,0.88875,0.04967079121576382,0.7894084175684724
7468,0.8802500000000001,0.055485921637835306,0.7692781567243294
7469,0.8802499999999999,0.05376976380829658,0.7727104723834067
7470,0.8852500000000001,0.046515454421084616,0.7922190911578308
